2025.08.05 11:49:02.177,Trades,"'963254': accepted market buy 1.38 GBPJPY.sd, close #52526536 sell 1.38 GBPJPY.sd 196.144"
2025.08.05 11:49:02.178,Trades,'963254': deal #50641328 buy 1.38 GBPJPY.sd at 195.995 done (based on order #52534930)
2025.08.05 11:49:02.178,Trades,'963254': order #52534930 buy 1.38 / 1.38 GBPJPY.sd at 195.995 done in 9.110 ms
2025.08.05 11:49:02.178,Trades,'963254': market sell 0.54 GBPJPY.sd sl: 196.250 tp: 194.740
2025.08.05 11:49:02.186,Trades,'963254': accepted market sell 0.54 GBPJPY.sd sl: 196.250 tp: 194.740
2025.08.05 11:49:02.188,Trades,'963254': deal #50641329 sell 0.54 GBPJPY.sd at 195.976 done (based on order #52534931)
2025.08.05 11:49:02.190,Trades,'963254': order #52534931 sell 0.54 / 0.54 GBPJPY.sd at 195.976 done in 11.874 ms
2025.08.05 11:49:02.209,Trades,"'963254': market buy 0.62 USDCAD.sd, close #52526537 sell 0.62 USDCAD.sd 1.38041"
2025.08.05 11:49:02.227,Trades,"'963254': accepted market buy 0.62 USDCAD.sd, close #52526537 sell 0.62 USDCAD.sd 1.38041"
2025.08.05 11:49:02.227,Trades,'963254': deal #50641330 buy 0.62 USDCAD.sd at 1.38032 done (based on order #52534932)
2025.08.05 11:49:02.230,Trades,'963254': order #52534932 buy 0.62 / 0.62 USDCAD.sd at 1.38032 done in 20.930 ms
2025.08.05 11:49:02.232,Trades,'963254': market sell 0.56 USDCAD.sd sl: 1.38260 tp: 1.37260
2025.08.05 11:49:02.251,Trades,'963254': accepted market sell 0.56 USDCAD.sd sl: 1.38260 tp: 1.37260
2025.08.05 11:49:02.254,Trades,'963254': deal #50641331 sell 0.56 USDCAD.sd at 1.38013 done (based on order #52534933)
2025.08.05 11:49:02.272,Trades,'963254': order #52534933 sell 0.56 / 0.56 USDCAD.sd at 1.38013 done in 40.443 ms
2025.08.05 11:49:02.272,Trades,"'963254': market buy 0.43 USDJPY.sd, close #52526538 sell 0.43 USDJPY.sd 147.589"
2025.08.05 11:49:02.288,Trades,"'963254': accepted market buy 0.43 USDJPY.sd, close #52526538 sell 0.43 USDJPY.sd 147.589"
2025.08.05 11:49:02.290,Trades,'963254': deal #50641332 buy 0.43 USDJPY.sd at 147.657 done (based on order #52534934)
2025.08.05 11:49:02.296,Trades,'963254': order #52534934 buy 0.43 / 0.43 USDJPY.sd at 147.657 done in 23.663 ms
2025.08.05 11:49:02.296,Trades,'963254': market sell 0.51 USDJPY.sd sl: 147.930 tp: 146.420
2025.08.05 11:49:02.309,Trades,'963254': accepted market sell 0.51 USDJPY.sd sl: 147.930 tp: 146.420
2025.08.05 11:49:02.313,Trades,'963254': deal #50641333 sell 0.51 USDJPY.sd at 147.642 done (based on order #52534935)
2025.08.05 11:49:02.317,Trades,'963254': order #52534935 sell 0.51 / 0.51 USDJPY.sd at 147.642 done in 21.221 ms
2025.08.05 11:49:02.318,Trades,"'963254': market sell 0.05 XPTUSD.sd, close #52530536 buy 0.05 XPTUSD.sd 1319.96"
2025.08.05 11:49:02.328,Trades,"'963254': accepted market sell 0.05 XPTUSD.sd, close #52530536 buy 0.05 XPTUSD.sd 1319.96"
2025.08.05 11:49:02.332,Trades,'963254': deal #50641334 sell 0.05 XPTUSD.sd at 1312.64 done (based on order #52534936)
2025.08.05 11:49:02.334,Trades,'963254': order #52534936 sell 0.05 / 0.05 XPTUSD.sd at 1312.64 done in 16.127 ms
2025.08.05 11:49:02.334,Trades,'963254': market buy 0.05 XPTUSD.sd sl: 1300.00 tp: 1360.00
2025.08.05 11:49:02.341,Trades,'963254': accepted market buy 0.05 XPTUSD.sd sl: 1300.00 tp: 1360.00
2025.08.05 11:49:02.342,Trades,'963254': deal #50641335 buy 0.05 XPTUSD.sd at 1319.73 done (based on order #52534937)
2025.08.05 11:49:02.344,Trades,'963254': order #52534937 buy 0.05 / 0.05 XPTUSD.sd at 1319.73 done in 9.866 ms
2025.08.05 11:49:02.345,Trades,'963254': market sell 0.08 XAUUSD.sd sl: 3365.00 tp: 3320.00
2025.08.05 11:49:02.355,Trades,'963254': accepted market sell 0.08 XAUUSD.sd sl: 3365.00 tp: 3320.00
